@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.00658 , 0.1772 , 0.1549 , -1.4672 , -4.1601
-0.00068 , 0.1591 , 0.2594 , -1.6155 , -4.2659
0.0037 , 0.1409 , 0.3643 , -1.7684 , -4.3669
0.00736 , 0.0354 , 0.2849 , -2.0420 , -4.4551
0.00839 , -0.0743 , 0.2062 , -2.2885 , -4.5637
0.00639 , -0.1870 , 0.1273 , -2.5613 , -4.6580
0.00192 , -0.1834 , 0.0087 , -2.5992 , -4.4988
-0.00307 , -0.1744 , -0.1074 , -2.6435 , -4.3337
-0.00782 , -0.1643 , -0.2237 , -2.6921 , -4.1631
-0.01044 , -0.0626 , -0.1690 , -2.7460 , -3.9903
-0.01136 , 0.0389 , -0.1129 , -2.7920 , -3.8153
-0.01045 , 0.1401 , -0.0533 , -2.8479 , -3.6481
-0.00698 , 0.1452 , 0.0403 , -2.8927 , -3.4808
-0.00054 , 0.1509 , 0.1318 , -2.9300 , -3.3130
0.00288 , 0.1570 , 0.2238 , -2.9747 , -3.1523
0.00397 , 0.0479 , 0.1504 , -3.0123 , -2.9852
0.00344 , -0.0612 , 0.0778 , -3.0506 , -2.8161
0.00157 , -0.1705 , 0.0054 , -3.0899 , -2.6486
-0.00273 , -0.1638 , -0.0970 , -3.1118 , -2.4601
-0.00822 , -0.1576 , -0.1998 , -3.1280 , -2.2735
-0.01205 , -0.1521 , -0.3025 , -3.1497 , -2.0975
-0.01394 , -0.0493 , -0.2110 , -3.4795 , -1.3942
-0.01378 , 0.0517 , -0.1174 , -3.8460 , -0.7117
-0.00942 , 0.1513 , -0.0224 , -4.2338 , -0.0437
-0.00302 , 0.1654 , 0.1063 , -3.9064 , 0.4531
0.00357 , 0.1797 , 0.2312 , -3.5852 , 1.0048
0.00982 , 0.1939 , 0.3569 , -3.2463 , 1.5372
0.01346 , 0.0818 , 0.2984 , -2.8529 , 1.0880
