@relation whatever

@attribute obs_lat numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.00409 , -0.005351 , 0.004389 , 0.1612 , 0.0557 , -7.7944 , 3.4455
0.01013 , -0.004614 , 0.006871 , 0.1441 , 0.1407 , -8.1008 , 3.5250
0.01572 , -0.006361 , 0.009648 , 0.1272 , 0.2249 , -8.3910 , 3.5666
0.01893 , -0.0074 , 0.012382 , 0.1112 , 0.3081 , -8.7047 , 3.6312
0.01999 , -0.010438 , 0.01241 , 0.0104 , 0.2455 , -9.0360 , 3.7031
0.01593 , -0.014981 , 0.010579 , -0.0929 , 0.1871 , -9.3597 , 3.7563
0.01099 , -0.019592 , 0.00886 , -0.1980 , 0.1316 , -9.6770 , 3.7954
0.00407 , -0.021267 , 0.006286 , -0.2079 , 0.0289 , -9.9946 , 3.8791
0.00052 , -0.021269 , 0.003142 , -0.2167 , -0.0706 , -10.2892 , 3.9750
-0.00018 , -0.021798 , 0.000142 , -0.2222 , -0.1671 , -10.5513 , 4.1001
-0.00225 , -0.019527 , -0.000564 , -0.1117 , -0.1422 , -10.7833 , 4.2246
-0.00303 , -0.015389 , 0.000371 , 0.0003 , -0.1207 , -11.0123 , 4.3280
-0.0021 , -0.011271 , 0.001142 , 0.1057 , -0.0964 , -11.2298 , 4.4395
0.0018 , -0.009264 , 0.003942 , 0.1381 , 0.0198 , -10.9538 , 5.1282
0.00762 , -0.008313 , 0.00818 , 0.1719 , 0.1337 , -10.7202 , 5.7549
0.01443 , -0.006567 , 0.012298 , 0.2098 , 0.2424 , -10.4859 , 6.3896
0.01853 , -0.007058 , 0.014146 , 0.1216 , 0.2537 , -9.3328 , 6.3483
0.01935 , -0.010026 , 0.014357 , 0.0301 , 0.2661 , -8.1731 , 6.1964
0.01692 , -0.01241 , 0.014456 , -0.0635 , 0.2792 , -6.9944 , 5.8318
0.0137 , -0.01331 , 0.012651 , -0.1010 , 0.1866 , -6.5629 , 5.6170
0.00904 , -0.014403 , 0.009615 , -0.1405 , 0.0968 , -6.0957 , 5.4733
0.00336 , -0.014842 , 0.006702 , -0.1828 , 0.0098 , -5.6805 , 5.3261
0.00087 , -0.012992 , 0.004654 , -0.0803 , -0.0130 , -5.8130 , 4.5399
-0.00057 , -0.008378 , 0.003038 , 0.0208 , -0.0401 , -5.9596 , 3.7776
